epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,14585.4,1.47494,1.39429,1.78278,0.75528,0.84296,0.84529,0.4961,1.3627,0.94875,1.75445,0.0002278,0.0002278,0.0002278
119,14693.7,1.46587,1.37099,1.77392,0.74065,0.87044,0.85293,0.48801,1.41174,0.95065,1.78745,0.0002212,0.0002212,0.0002212
120,14801.4,1.44196,1.36993,1.76394,0.75853,0.858,0.85961,0.50324,1.37873,0.93127,1.76425,0.0002146,0.0002146,0.0002146
121,14909.1,1.43247,1.3262,1.75129,0.76351,0.84577,0.86385,0.52083,1.34203,0.91348,1.72821,0.000208,0.000208,0.000208
122,15017.2,1.43361,1.35102,1.74709,0.76881,0.8581,0.8751,0.52269,1.35945,0.90806,1.73916,0.0002014,0.0002014,0.0002014
123,15125.4,1.44656,1.35354,1.75531,0.76495,0.85754,0.86614,0.51631,1.33217,0.90738,1.72831,0.0001948,0.0001948,0.0001948
124,15233.4,1.40631,1.34908,1.74112,0.76681,0.85019,0.85921,0.50723,1.36401,0.92169,1.75678,0.0001882,0.0001882,0.0001882
125,15342,1.41033,1.35969,1.74011,0.75907,0.85362,0.86309,0.51367,1.34383,0.90074,1.73975,0.0001816,0.0001816,0.0001816
126,15450.1,1.45932,1.35732,1.76306,0.77283,0.85081,0.87245,0.52487,1.35641,0.90885,1.73331,0.000175,0.000175,0.000175
127,15559.6,1.41372,1.30971,1.72081,0.77287,0.86264,0.88371,0.5341,1.32754,0.89305,1.72065,0.0001684,0.0001684,0.0001684
128,15670.4,1.42182,1.29988,1.71695,0.77537,0.86596,0.88941,0.54099,1.33434,0.86839,1.71408,0.0001618,0.0001618,0.0001618
129,15781.6,1.41094,1.29963,1.73211,0.79031,0.87156,0.89689,0.54956,1.30543,0.86529,1.69899,0.0001552,0.0001552,0.0001552
130,15887.2,1.40647,1.31198,1.71766,0.7819,0.87381,0.89668,0.56219,1.26641,0.86807,1.67071,0.0001486,0.0001486,0.0001486
131,15987.9,1.40307,1.31904,1.71293,0.7851,0.85306,0.89003,0.54401,1.30319,0.86695,1.6941,0.000142,0.000142,0.000142
132,16088.7,1.41989,1.30875,1.73574,0.79638,0.87082,0.89794,0.55168,1.32587,0.85565,1.7141,0.0001354,0.0001354,0.0001354
133,16188.7,1.39944,1.26657,1.72841,0.80127,0.86764,0.90807,0.56278,1.27549,0.84603,1.67761,0.0001288,0.0001288,0.0001288
134,16288.4,1.37682,1.28648,1.6959,0.81476,0.86147,0.90672,0.57206,1.25151,0.82798,1.65222,0.0001222,0.0001222,0.0001222
135,16389.6,1.38849,1.27188,1.71892,0.80104,0.86596,0.90278,0.57047,1.25577,0.83134,1.65546,0.0001156,0.0001156,0.0001156
136,16489.2,1.39081,1.27881,1.71172,0.79204,0.88646,0.90142,0.57592,1.24632,0.81434,1.64933,0.000109,0.000109,0.000109
137,16590.1,1.38893,1.24004,1.70491,0.79342,0.87027,0.90357,0.56723,1.2793,0.82215,1.6683,0.0001024,0.0001024,0.0001024
138,16691.3,1.37551,1.26313,1.6919,0.80347,0.88671,0.90853,0.57473,1.26328,0.81507,1.65311,9.58e-05,9.58e-05,9.58e-05
139,16791,1.37296,1.25434,1.68854,0.8064,0.88307,0.90844,0.5689,1.26422,0.81663,1.65259,8.92e-05,8.92e-05,8.92e-05
140,16890.9,1.37497,1.26076,1.71501,0.80463,0.88235,0.9086,0.57722,1.24591,0.80803,1.64757,8.26e-05,8.26e-05,8.26e-05
141,16991.5,1.32339,1.01574,1.74898,0.8097,0.86988,0.90764,0.57031,1.2763,0.82703,1.66627,7.6e-05,7.6e-05,7.6e-05
142,17091.7,1.28143,0.97986,1.71609,0.8175,0.86315,0.9107,0.58298,1.22998,0.80947,1.63653,6.94e-05,6.94e-05,6.94e-05
143,17192.7,1.27418,0.97157,1.73252,0.80628,0.87437,0.91114,0.59571,1.20929,0.79408,1.62011,6.28e-05,6.28e-05,6.28e-05
144,17293.6,1.25814,0.96344,1.70891,0.82082,0.86315,0.9153,0.59159,1.22352,0.79191,1.63165,5.62e-05,5.62e-05,5.62e-05
145,17393.2,1.26786,0.94793,1.70871,0.82063,0.87241,0.91379,0.58894,1.22257,0.79155,1.62221,4.96e-05,4.96e-05,4.96e-05
146,17493.7,1.26808,0.94899,1.71215,0.81559,0.88951,0.91809,0.59927,1.21113,0.77771,1.61561,4.3e-05,4.3e-05,4.3e-05
147,17593,1.24975,0.93212,1.69471,0.81341,0.88839,0.92228,0.60139,1.20693,0.77182,1.60866,3.64e-05,3.64e-05,3.64e-05
148,17693,1.26103,0.94035,1.6965,0.80919,0.89906,0.92153,0.60521,1.1934,0.76803,1.60041,2.98e-05,2.98e-05,2.98e-05
149,17793.3,1.2529,0.94674,1.69598,0.82176,0.89209,0.92259,0.60555,1.19065,0.76621,1.59638,2.32e-05,2.32e-05,2.32e-05
150,17894.2,1.24277,0.94268,1.69603,0.82104,0.89007,0.9227,0.60983,1.18314,0.76402,1.5916,1.66e-05,1.66e-05,1.66e-05
